metaamr_id	gene	protein_id	type	phenotype	mechanism	source
MAMR000025	blaRAA-1	WP_061710074.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR000026	blaERP-1	WP_062743204.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR000027	blaDHA-22	WP_062771895.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR000028	subB	KYU89760.1	AMR		other	AMRFinder
MAMR000029	arsN1a	KYZ65872.1	AMR	arsenic	other	AMRFinder
MAMR000030	blaADC-151	WP_063099318.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR000031	blaCTX-M-140	WP_063108644.1	AMR		enzyme	AMRFinder
MAMR000032	blaOXA-163	WP_063131934.1	AMR	carbapenem	enzyme	AMRFinder
MAMR000033	blaACT-14	WP_063138000.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR000034	blaACT-67	WP_063147148.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR000035	blaACT-109	WP_063157039.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR000036	blaLEN-25	WP_063266839.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR000037	fosA8	WP_063277905.1	AMR	fosfomycin	other	AMRFinder
MAMR000038	ampC_Kaer	WP_063406924.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR000039	blaMIR-15	WP_063417273.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR000040	blaACT-95	WP_063434356.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR000041	blaOXA-498	WP_063454569.1	AMR		enzyme	AMRFinder
MAMR000042	oqxB29	WP_063501636.1	AMR	phenicol/quinolone	efflux	AMRFinder
MAMR000043	blaCMY-38	WP_063553425.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR000044	vanT-Cd	CZR78671.1	AMR	vancomycin	other	AMRFinder
MAMR000045	blaOXA-258	WP_063569909.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR000046	blaEC-15	WP_063610930.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR000047	aac(6')-Ib-AKT	WP_063612062.1	AMR	amikacin/kanamycin/tobramycin	other	AMRFinder
MAMR000048	erm(Z)	WP_063796790.1	AMR	lincosamide/macrolide/streptogramin	target_modification	AMRFinder
MAMR000049	aac(3)-Ib	WP_063838852.1	AMR	gentamicin	other	AMRFinder
MAMR000050	aac(6')-30	WP_063838853.1	AMR	aminoglycoside	other	AMRFinder
MAMR000051	ant(3'')-Ij	WP_063839875.1	AMR	spectinomycin/streptomycin	other	AMRFinder
MAMR000052	blaOXA-PR	WP_063839877.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR000053	ant(3'')-Ih	WP_063839878.1	AMR	spectinomycin/streptomycin	other	AMRFinder
MAMR000054	BcII	WP_063839879.1	AMR	carbapenem	enzyme	AMRFinder
MAMR000055	BcII	WP_063839880.1	AMR	carbapenem	enzyme	AMRFinder
MAMR000056	aac(2')-IIa	WP_063839881.1	AMR	kasugamycin	other	AMRFinder
MAMR000057	aac(3)-I	WP_063840256.1	AMR	gentamicin	other	AMRFinder
MAMR000058	aac(3)-Ia	WP_063840257.1	AMR	gentamicin	other	AMRFinder
MAMR000059	aac(3)-Ia	WP_063840258.1	AMR	gentamicin	other	AMRFinder
MAMR000060	aac(3)-Ia	WP_063840259.1	AMR	gentamicin	other	AMRFinder
MAMR000061	aac(3)-I	WP_063840260.1	AMR	gentamicin	other	AMRFinder
MAMR000062	aac(3)-IIIa	WP_063840261.1	AMR	gentamicin	other	AMRFinder
MAMR000063	aac(3)-IIIc	WP_063840263.1	AMR	gentamicin	other	AMRFinder
MAMR000064	aac(3)-IIa	WP_063840264.1	AMR	gentamicin	other	AMRFinder
MAMR000065	aac(3)-IId	WP_063840265.1	AMR	gentamicin	other	AMRFinder
MAMR000066	aac(3)-IIc	WP_063840266.1	AMR	gentamicin	other	AMRFinder
MAMR000067	aac(3)-IIe	WP_063840267.1	AMR	gentamicin	other	AMRFinder
MAMR000068	aac(3)-IXa	WP_063840269.1	AMR	aminoglycoside	other	AMRFinder
MAMR000069	aac(3)-VIII	WP_063840270.1	AMR	aminoglycoside	other	AMRFinder
MAMR000070	aac(3)-VIII	WP_063840271.1	AMR	aminoglycoside	other	AMRFinder
MAMR000071	aac(3)-VIIa	WP_063840272.1	AMR	aminoglycoside	other	AMRFinder
MAMR000072	aac(3)-VIa	WP_063840273.1	AMR	gentamicin	other	AMRFinder
MAMR000073	aac(6')-I30	WP_063840274.1	AMR	aminoglycoside	other	AMRFinder
MAMR000074	aacA40	WP_063840275.1	AMR	aminoglycoside	other	AMRFinder
MAMR000075	aac(6')-IIb	WP_063840276.1	AMR	gentamicin/kanamycin/tobramycin	other	AMRFinder
MAMR000076	aac(6')-Iad	WP_063840277.1	AMR	amikacin/tobramycin	other	AMRFinder
MAMR000077	aac(6')-Iaf	WP_063840278.1	AMR	aminoglycoside	other	AMRFinder
MAMR000078	aac(6')-Iai	WP_063840279.1	AMR	aminoglycoside	other	AMRFinder
MAMR000079	aac(6')-Ib-AKT	WP_063840280.1	AMR	amikacin/kanamycin/tobramycin	other	AMRFinder
MAMR000080	aac(6')-Ib-AKT	WP_063840281.1	AMR	amikacin/kanamycin/tobramycin	other	AMRFinder
MAMR000081	aac(6')-Ib-K	WP_063840282.1	AMR	kanamycin	other	AMRFinder
MAMR000082	aac(6')-Ib-AKT	WP_063840283.1	AMR	amikacin/kanamycin/tobramycin	other	AMRFinder
MAMR000083	aac(6')-Ib-AKT	WP_063840319.1	AMR	amikacin/kanamycin/tobramycin	other	AMRFinder
MAMR000084	aac(6')-Ib-cr6	WP_063840320.1	AMR	amikacin/kanamycin/quinolone/tobramycin	other	AMRFinder
MAMR000085	aac(6')-Ib-cr5	WP_063840321.1	AMR	amikacin/kanamycin/quinolone/tobramycin	other	AMRFinder
MAMR000086	aac(6')-Ik	WP_063840323.1	AMR	amikacin/kanamycin/tobramycin	other	AMRFinder
MAMR000087	aac(6')-Il	WP_063840324.1	AMR	amikacin/kanamycin/tobramycin	other	AMRFinder
MAMR000088	aac(6')-Il	WP_063840325.1	AMR	amikacin/kanamycin/tobramycin	other	AMRFinder
MAMR000089	aac(6')-Ir	WP_063840327.1	AMR	amikacin/kanamycin/tobramycin	other	AMRFinder
MAMR000090	aac(6')-Is	WP_063840328.1	AMR	amikacin/kanamycin/tobramycin	other	AMRFinder
MAMR000091	aac(6')-It	WP_063840329.1	AMR	amikacin/kanamycin/tobramycin	other	AMRFinder
MAMR000092	aac(6')-Ix	WP_063840330.1	AMR	amikacin/kanamycin/tobramycin	other	AMRFinder
MAMR000093	aacA37	WP_063840332.1	AMR	aminoglycoside	other	AMRFinder
MAMR000094	aadA11	WP_063840415.1	AMR	streptomycin	other	AMRFinder
MAMR000095	aadA17	WP_063840416.1	AMR	spectinomycin/streptomycin	other	AMRFinder
MAMR000096	aadA21	WP_063840435.1	AMR	streptomycin	other	AMRFinder
MAMR000097	aadA21	WP_063840436.1	AMR	streptomycin	other	AMRFinder
MAMR000098	aadA3	WP_063840441.1	AMR	streptomycin	other	AMRFinder
MAMR000099	aadA3	WP_063840442.1	AMR	streptomycin	other	AMRFinder
MAMR000100	aadA4	WP_063840443.1	AMR	streptomycin	other	AMRFinder
MAMR000101	aadA4	WP_063840444.1	AMR	streptomycin	other	AMRFinder
MAMR000102	aadA6	WP_063840454.1	AMR	streptomycin	other	AMRFinder
MAMR000103	aadA7	WP_063840455.1	AMR	streptomycin	other	AMRFinder
MAMR000104	aadA7	WP_063840456.1	AMR	streptomycin	other	AMRFinder
MAMR000105	aadA8	WP_063840457.1	AMR	streptomycin	other	AMRFinder
MAMR000106	aadA9	WP_063840458.1	AMR	streptomycin	other	AMRFinder
MAMR000107	aadA9	WP_063840459.1	AMR	streptomycin	other	AMRFinder
MAMR000108	ant(4')-Ia	WP_063840460.1	AMR	kanamycin/tobramycin	other	AMRFinder
MAMR000109	ant(4')-Ia	WP_063840461.1	AMR	kanamycin/tobramycin	other	AMRFinder
MAMR000110	ampC_Asob-1	WP_063840463.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR000111	blaSRT	WP_063840465.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR000112	ampC_Sliq-1	WP_063840466.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR000113	ant(2'')-Ia	WP_063840507.1	AMR	gentamicin/kanamycin/tobramycin	other	AMRFinder
MAMR000114	ant(4')-IIa	WP_063840508.1	AMR	amikacin/kanamycin/tobramycin	other	AMRFinder
MAMR000115	ant(4')-IIb	WP_063840509.1	AMR	amikacin/kanamycin/tobramycin	other	AMRFinder
MAMR000116	ant(9)-Ib	WP_063840673.1	AMR	spectinomycin	other	AMRFinder
MAMR000117	aph(2'')-IIa	WP_063840674.1	AMR	amikacin/gentamicin/kanamycin/tobramycin	other	AMRFinder
MAMR000118	aph(2'')-If	WP_063840675.1	AMR	amikacin/gentamicin/kanamycin/tobramycin	other	AMRFinder
MAMR000119	aph(3'')-Ia	WP_063840676.1	AMR	streptomycin	other	AMRFinder
MAMR000120	aph(3'')-Ia	WP_063840677.1	AMR	streptomycin	other	AMRFinder
MAMR000121	aph(3'')-Ic	WP_063841015.1	AMR	streptomycin	other	AMRFinder
MAMR000122	aph(3')-IIIa	WP_063841495.1	AMR	amikacin/kanamycin	other	AMRFinder
MAMR000123	aph(3')-IIIa	WP_063841507.1	AMR	amikacin/kanamycin	other	AMRFinder
MAMR000124	aph(3')-IIc	WP_063841661.1	AMR	kanamycin	other	AMRFinder
MAMR000125	aph(6)-Smalt	WP_063841666.1	AMR	aminoglycoside	other	AMRFinder
MAMR000126	aph(3')-IVa	WP_063841674.1	AMR	kanamycin	other	AMRFinder
MAMR000127	aph(3')-Ia	WP_063841683.1	AMR	kanamycin	other	AMRFinder
MAMR000128	aph(3')-Ia	WP_063842098.1	AMR	kanamycin	other	AMRFinder
MAMR000129	aph(3')-Ia	WP_063842148.1	AMR	kanamycin	other	AMRFinder
MAMR000130	aph(3')-VIIa	WP_063842175.1	AMR	amikacin/kanamycin	other	AMRFinder
MAMR000131	aph(3')-Va	WP_063842176.1	AMR	aminoglycoside	other	AMRFinder
MAMR000132	aph(3')-Vb	WP_063842177.1	AMR	aminoglycoside	other	AMRFinder
MAMR000133	aph(3')-Vb	WP_063842178.1	AMR	aminoglycoside	other	AMRFinder
MAMR000134	aph(3')-Vc	WP_063842179.1	AMR	aminoglycoside	other	AMRFinder
MAMR000135	aph(6)-Ia	WP_063842181.1	AMR	streptomycin	other	AMRFinder
MAMR000136	aph(6)-Id	WP_063842183.1	AMR	streptomycin	other	AMRFinder
MAMR000137	aph(6)-Id	WP_063842184.1	AMR	streptomycin	other	AMRFinder
MAMR000138	aph(7'')-Ia	WP_063842185.1	AMR	hygromycin	other	AMRFinder
MAMR000139	aph(9)-Ib	WP_063842186.1	AMR	spectinomycin	other	AMRFinder
MAMR000140	arr-Msmeg	WP_063842202.1	AMR	rifamycin	other	AMRFinder
MAMR000141	arr	WP_063842207.1	AMR	rifamycin	other	AMRFinder
MAMR000142	arr-6	WP_063842214.1	AMR	rifamycin	other	AMRFinder
MAMR000143	bla2a	WP_063842239.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR000144	bla1	WP_063842248.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR000145	blaLRA-1	WP_063842263.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR000146	blaLRA-5	WP_063842268.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR000147	bla-A2	WP_063842272.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR000148	bla-A	WP_063842277.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR000149	blaF	WP_063842628.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR000150	blaL1	WP_063842669.1	AMR	carbapenem	enzyme	AMRFinder
MAMR000151	blaL1	WP_063842676.1	AMR	carbapenem	enzyme	AMRFinder
MAMR000152	blaL1	WP_063842682.1	AMR	carbapenem	enzyme	AMRFinder
MAMR000153	blaL1	WP_063842688.1	AMR	carbapenem	enzyme	AMRFinder
MAMR000154	blaL1	WP_063842689.1	AMR	carbapenem	enzyme	AMRFinder
MAMR000155	blaL1	WP_063842690.1	AMR	carbapenem	enzyme	AMRFinder
MAMR000156	blaL1	WP_063842691.1	AMR	carbapenem	enzyme	AMRFinder
MAMR000157	blaL1	WP_063842692.1	AMR	carbapenem	enzyme	AMRFinder
MAMR000158	blaL1	WP_063842693.1	AMR	carbapenem	enzyme	AMRFinder
MAMR000159	blaL1	WP_063842694.1	AMR	carbapenem	enzyme	AMRFinder
MAMR000160	blaL1	WP_063842695.1	AMR	carbapenem	enzyme	AMRFinder
MAMR000161	blaL1	WP_063842696.1	AMR	carbapenem	enzyme	AMRFinder
MAMR000162	blaL1	WP_063842697.1	AMR	carbapenem	enzyme	AMRFinder
MAMR000163	blaL1	WP_063842698.1	AMR	carbapenem	enzyme	AMRFinder
MAMR000164	blaL1	WP_063842699.1	AMR	carbapenem	enzyme	AMRFinder
MAMR000165	blaL2	WP_063842700.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR000166	blaLRA-2	WP_063842701.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR000167	blaLRA-3	WP_063842702.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR000168	blaLRA-8	WP_063842703.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR000169	blaLRA-9	WP_063842704.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR000170	blaLRA-12	WP_063842707.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR000171	blaLRA-17	WP_063842712.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR000172	blaLRA-19	WP_063842717.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR000173	blaM-1	WP_063842724.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR000174	blaOCH	WP_063842730.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR000175	blaOKP-B	WP_063842745.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR000176	blaOXY-2-14	WP_063842752.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR000177	blaOXY-2-5	WP_063842759.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR000178	blaZ-mecC	WP_063842862.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR000179	blaR1	WP_063842869.1	AMR	beta-lactam	other	AMRFinder
MAMR000180	blaR39	WP_063842896.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR000181	blaSED	WP_063842905.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR000182	blaSFB-1	WP_063842911.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR000183	blaSLB-1	WP_063842915.1	AMR	carbapenem	enzyme	AMRFinder
MAMR000184	blaSRT	WP_063842939.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR000185	blaSRT	WP_063842944.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR000186	blaTHIN-B	WP_063842948.1	AMR	carbapenem	enzyme	AMRFinder
MAMR000187	ble-Sv	WP_063842962.1	AMR	bleomycin	target_protection	AMRFinder
MAMR000188	ble-Sv	WP_063842967.1	AMR	bleomycin	target_protection	AMRFinder
MAMR000189	ble-Sh	WP_063842998.1	AMR	bleomycin	target_protection	AMRFinder
MAMR000190	blmB	WP_063843206.1	AMR	bleomycin	other	AMRFinder
MAMR000191	car(A)	WP_063843207.1	AMR	macrolide	other	AMRFinder
MAMR000192	catA4	WP_063843208.1	AMR	chloramphenicol	other	AMRFinder
MAMR000193	catA8	WP_063843209.1	AMR	chloramphenicol	other	AMRFinder
MAMR000194	catA8	WP_063843210.1	AMR	chloramphenicol	other	AMRFinder
MAMR000195	catA7	WP_063843211.1	AMR	chloramphenicol	other	AMRFinder
MAMR000196	catA5	WP_063843212.1	AMR	chloramphenicol	other	AMRFinder
MAMR000197	catA1	WP_063843217.1	AMR	chloramphenicol	other	AMRFinder
MAMR000198	catA1	WP_063843218.1	AMR	chloramphenicol	other	AMRFinder
MAMR000199	catA15	WP_063843219.1	AMR	chloramphenicol	other	AMRFinder
MAMR000200	catA16	WP_063843220.1	AMR	chloramphenicol	other	AMRFinder
MAMR000201	catA16	WP_063843221.1	AMR	chloramphenicol	other	AMRFinder
MAMR000202	catA2	WP_063843222.1	AMR	chloramphenicol	other	AMRFinder
MAMR000203	catB10	WP_063843223.1	AMR	chloramphenicol	other	AMRFinder
MAMR000204	catB3	WP_063843224.1	AMR	chloramphenicol	other	AMRFinder
MAMR000205	catB3	WP_063843225.1	AMR	chloramphenicol	other	AMRFinder
MAMR000206	catB3	WP_063843226.1	AMR	chloramphenicol	other	AMRFinder
MAMR000207	catB3	WP_063843227.1	AMR	chloramphenicol	other	AMRFinder
MAMR000208	catB3	WP_063843228.1	AMR	chloramphenicol	other	AMRFinder
MAMR000209	catB6	WP_063843229.1	AMR	chloramphenicol	other	AMRFinder
MAMR000210	catB8	WP_063843230.1	AMR	chloramphenicol	other	AMRFinder
MAMR000211	catB8	WP_063843231.1	AMR	chloramphenicol	other	AMRFinder
MAMR000212	catB8	WP_063843232.1	AMR	chloramphenicol	other	AMRFinder
MAMR000213	catD	WP_063843233.1	AMR	chloramphenicol	other	AMRFinder
MAMR000214	cepH	WP_063843234.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR000215	cepS	WP_063843235.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR000216	cfiA11	WP_063843236.1	AMR	carbapenem	enzyme	AMRFinder
MAMR000217	cfxA	WP_063843237.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR000218	cfxA_fam	WP_063843238.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR000219	cfxA_fam	WP_063843239.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR000220	cfxA_fam	WP_063843240.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR000221	cfxA_fam	WP_063843241.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR000222	cfxA2	WP_063843242.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR000223	cfxA2	WP_063843243.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR000224	chrB_rRNA_meth	WP_063843245.1	AMR	macrolide	target_modification	AMRFinder
MAMR000225	cmlA4	WP_063843246.1	AMR	chloramphenicol	efflux	AMRFinder
MAMR000226	cmlA4	WP_063843247.1	AMR	chloramphenicol	efflux	AMRFinder
MAMR000227	cmlV	WP_063844229.1	AMR	chloramphenicol	efflux	AMRFinder
MAMR000228	cmrA	WP_063844234.1	AMR	chloramphenicol	efflux	AMRFinder
MAMR000229	cmrA	WP_063844243.1	AMR	chloramphenicol	efflux	AMRFinder
MAMR000230	cphA3	WP_063844281.1	AMR	carbapenem	enzyme	AMRFinder
MAMR000231	cphA1	WP_063844282.1	AMR	carbapenem	enzyme	AMRFinder
MAMR000232	cphA1	WP_063844283.1	AMR	carbapenem	enzyme	AMRFinder
MAMR000233	cphA1	WP_063844284.1	AMR	carbapenem	enzyme	AMRFinder
MAMR000234	cphA1	WP_063844285.1	AMR	carbapenem	enzyme	AMRFinder
MAMR000235	cphA1	WP_063844286.1	AMR	carbapenem	enzyme	AMRFinder
MAMR000236	cpt	WP_063844287.1	AMR	chloramphenicol	other	AMRFinder
MAMR000237	dfr1_rpt	WP_063844288.1	AMR	trimethoprim	other	AMRFinder
MAMR000238	dfrA1	WP_063844289.1	AMR	trimethoprim	other	AMRFinder
MAMR000239	dfrA1	WP_063844290.1	AMR	trimethoprim	other	AMRFinder
MAMR000240	dfrA1	WP_063844291.1	AMR	trimethoprim	other	AMRFinder
MAMR000241	dfrA1	WP_063844292.1	AMR	trimethoprim	other	AMRFinder
MAMR000242	dfrA1	WP_063844293.1	AMR	trimethoprim	other	AMRFinder
MAMR000243	dfrA1	WP_063844294.1	AMR	trimethoprim	other	AMRFinder
MAMR000244	dfrA1	WP_063844295.1	AMR	trimethoprim	other	AMRFinder
MAMR000245	dfrA1	WP_063844296.1	AMR	trimethoprim	other	AMRFinder
MAMR000246	dfrA12	WP_063844297.1	AMR	trimethoprim	other	AMRFinder
MAMR000247	dfrA12	WP_063844298.1	AMR	trimethoprim	other	AMRFinder
MAMR000248	dfrA12	WP_063844315.1	AMR	trimethoprim	other	AMRFinder
MAMR000249	dfrA12	WP_063844321.1	AMR	trimethoprim	other	AMRFinder
MAMR000250	dfrA12	WP_063844329.1	AMR	trimethoprim	other	AMRFinder
MAMR000251	dfrA13	WP_063844334.1	AMR	trimethoprim	other	AMRFinder
MAMR000252	dfrA14	WP_063844340.1	AMR	trimethoprim	other	AMRFinder
MAMR000253	dfrA15	WP_063844362.1	AMR	trimethoprim	other	AMRFinder
MAMR000254	dfrA15	WP_063844363.1	AMR	trimethoprim	other	AMRFinder
MAMR000255	dfrA16	WP_063844364.1	AMR	trimethoprim	other	AMRFinder
MAMR000256	dfrA16	WP_063844365.1	AMR	trimethoprim	other	AMRFinder
MAMR000257	dfrA17	WP_063844366.1	AMR	trimethoprim	other	AMRFinder
MAMR000258	dfrA17	WP_063844367.1	AMR	trimethoprim	other	AMRFinder
MAMR000259	dfrA17	WP_063844368.1	AMR	trimethoprim	other	AMRFinder
MAMR000260	dfrA17	WP_063844369.1	AMR	trimethoprim	other	AMRFinder
MAMR000261	dfrA22	WP_063844370.1	AMR	trimethoprim	other	AMRFinder
MAMR000262	dfrA33	WP_063844371.1	AMR	trimethoprim	other	AMRFinder
MAMR000263	dfrA24	WP_063844376.1	AMR	trimethoprim	other	AMRFinder
MAMR000264	dfrA26	WP_063844381.1	AMR	trimethoprim	other	AMRFinder
MAMR000265	dfrA28	WP_063844392.1	AMR	trimethoprim	other	AMRFinder
MAMR000266	dfrA3	WP_063844403.1	AMR	trimethoprim	other	AMRFinder
MAMR000267	dfrA30	WP_063844408.1	AMR	trimethoprim	other	AMRFinder
MAMR000268	dfrA5	WP_063844445.1	AMR	trimethoprim	other	AMRFinder
MAMR000269	dfrA6	WP_063844458.1	AMR	trimethoprim	other	AMRFinder
MAMR000270	dfrA46	WP_063844461.1	AMR	trimethoprim	other	AMRFinder
MAMR000271	dfrA7	WP_063844472.1	AMR	trimethoprim	other	AMRFinder
MAMR000272	dfrA7	WP_063844473.1	AMR	trimethoprim	other	AMRFinder
MAMR000273	dfrA7	WP_063844474.1	AMR	trimethoprim	other	AMRFinder
MAMR000274	dfrA9	WP_063844475.1	AMR	trimethoprim	other	AMRFinder
MAMR000275	dfrB1	WP_063844476.1	AMR	trimethoprim	other	AMRFinder
MAMR000276	dfrB2	WP_063844477.1	AMR	trimethoprim	other	AMRFinder
MAMR000277	dfrB4	WP_063844478.1	AMR	trimethoprim	other	AMRFinder
MAMR000278	dfrB6	WP_063844479.1	AMR	trimethoprim	other	AMRFinder
MAMR000279	dfrB8	WP_063844480.1	AMR	trimethoprim	other	AMRFinder
MAMR000280	dfrD	WP_063844481.1	AMR	trimethoprim	other	AMRFinder
MAMR000281	dfrB5	WP_063844482.1	AMR	trimethoprim	other	AMRFinder
MAMR000282	dfrK	WP_063844483.1	AMR	trimethoprim	other	AMRFinder
MAMR000283	ere(A)	WP_063844484.1	AMR	erythromycin	other	AMRFinder
MAMR000284	ere(A)	WP_063844485.1	AMR	erythromycin	other	AMRFinder
MAMR000285	ere(B)	WP_063844486.1	AMR	azithromycin/erythromycin	other	AMRFinder
MAMR000286	erm(31)	WP_063844492.1	AMR	lincosamide/macrolide/streptogramin	target_modification	AMRFinder
MAMR000287	erm(32)	WP_063844496.1	AMR	lincosamide/streptogramin	target_modification	AMRFinder
MAMR000288	erm(34)	WP_063844504.1	AMR	clindamycin/erythromycin/lincomycin	target_modification	AMRFinder
MAMR000289	erm(38)	WP_063844518.1	AMR	clarithromycin/clindamycin/erythromycin	target_modification	AMRFinder
MAMR000290	erm(43)	WP_063844520.1	AMR	clindamycin/erythromycin/pristinamycin	target_modification	AMRFinder
MAMR000291	erm(44)	WP_063844521.1	AMR	clindamycin/erythromycin/pristinamycin	target_modification	AMRFinder
MAMR000292	erm(45)	WP_063844522.1	AMR	clindamycin/erythromycin/pristinamycin	target_modification	AMRFinder
MAMR000293	erm(B)	WP_063844601.1	AMR	clindamycin/erythromycin/streptogramin_b	target_modification	AMRFinder
MAMR000294	erm(B)	WP_063844614.1	AMR	clindamycin/erythromycin/streptogramin_b	target_modification	AMRFinder
MAMR000295	erm(B)	WP_063844619.1	AMR	clindamycin/erythromycin/streptogramin_b	target_modification	AMRFinder
MAMR000296	erm(C)	WP_063844768.1	AMR	clindamycin/erythromycin/streptogramin_b/tylosin	target_modification	AMRFinder
MAMR000297	erm(D)	WP_063844769.1	AMR	erythromycin/lincosamide/streptogramin	target_modification	AMRFinder
MAMR000298	erm(E)	WP_063844770.1	AMR	erythromycin/lincosamide/streptogramin	target_modification	AMRFinder
MAMR000299	erm(F)	WP_063844771.1	AMR	clindamycin/macrolide/streptogramin	target_modification	AMRFinder
MAMR000300	erm(F)	WP_063844773.1	AMR	clindamycin/macrolide/streptogramin	target_modification	AMRFinder
MAMR000301	erm(G)	WP_063844787.1	AMR	erythromycin/lincosamide/streptogramin/tylosin	target_modification	AMRFinder
MAMR000302	erm(G)	WP_063844791.1	AMR	erythromycin/lincosamide/streptogramin/tylosin	target_modification	AMRFinder
MAMR000303	erm(H)	WP_063844794.1	AMR	erythromycin/lincomycin/tylosin/vernamycin_b	target_modification	AMRFinder
MAMR000304	erm(R)	WP_063844815.1	AMR	erythromycin	target_modification	AMRFinder
MAMR000305	erm(S)	WP_063844819.1	AMR	clindamycin/erythromycin/ostreogrycin/tylosin	target_modification	AMRFinder
